SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,Other remarks,
605814,Purongo,Gulu ,Rural,A,I-Engineering,Moses Kaganda,Allan Kavuma,2.53198,31.83507333,,
605815,Bunyonyi,Kabale  ,Urban,B,Camusat,Denis Masaba,Faridah Nantege,-1.2543718,29.9212482,,
605816,Namungodi,Jinja ,Rural,B,Netis,Jude Musana,William Bwire,0.480798333,34.02166833,,
605817,Busitema,Jinja ,Rural,C,Netis,Jude Musana,William Bwire,0.541903333,34.01829,,
605818,Dabani_site,Jinja ,Rural,C,Netis,Emmanuel Kafuko,William Bwire,0.425005,34.05330167,,
605819,Bunyaruguru,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.318917,30.11438,,
605820,Burunga,Fort Portal   ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,0.13416,30.9600167,,
605821,Ireda,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.227678333,32.89045333,,
605822,Ankole House,Mbarara ,Urban,B,Camusat,Thomasi Seruyange,Faridah Nantege,-0.596893333,30.66493667,,
605667,Dzaipi,Gulu ,Rural,B,I-Engineering,Moses Kaganda,Allan Kavuma,3.471897,31.9715367,,
605823,Katala-Kazinga,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.224696667,32.53637667,,
605824,Kololo_Airstrip,Kampala East  ,Urban,B,Netis,Salim Kinene,William Bwire,0.32665,32.5985,,
605825,Kisaasi-Kisoota,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.365171667,32.603075,,
606242,Indirindri,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,3.570448333,31.92410333,,
605608,Orinya,Arua  ,Rural,A,I-Engineering,Innocent Ayiko,Allan Kavuma,3.451868333,31.573835,,
605828,Kibumbiro,Mityana ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.31492336,32.52622333,,
605832,Ryakarimira,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.440055,29.9609067,,
605830,Bubukwanga,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,0.7449388,30.0758156,,
605831,kagoma,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.40331852,32.54330153,,
605833,Kiziramire,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.3835267,30.7891817,,
605835,Masheruka,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4236617,30.4637933,,
