SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,IENG_to_New_Vendor,CAM_to_New_Vendor,NET_to_IENG,,,
608674,Wandi,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.098455,30.96915,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
609005,Biiso,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.728586667,31.470275,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
609789,Lwensambya,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4441749,31.3066264,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
606300,Kiwanga,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.3740136,32.6894059,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
606655,Ruhabo,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.843901667,30.17915,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
606820,Sogono,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.1787981,34.0474495,#N/A,#N/A,#N/A,Netis,Jude Musana,
701853,Lugore,TBC,TBC,TBC,I-Engineering,Moses Kaganda,Allan Kavuma,3.0446813,32.3512231,#N/A,#N/A,#N/A,I-Engineering,Moses Kaganda,
609456,Budoma,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.5810649,33.3555979,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
606840,Kishongati ,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-1.1990152,30.1293017,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
606031,Ntunda,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.2018217,31.4274517,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
609597,Kansiima,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.6173784,30.6383706,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
605351,Ggaba,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.2564591,32.6325891,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
605763,Kadama,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.0164735,33.887165,#N/A,#N/A,#N/A,Netis,Jude Musana,
605633,Kasitu,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.8090799,30.156228,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
609021,Buhembe,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1207421,30.7912199,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
